競馬場,競走年月日,レース番号,枠番,帽色,馬番,馬名,性,齢,毛色,生年月日,父馬名,母馬名,母父馬名,騎手名,騎手所属,負担重量,騎手成績,調教師,調教師所属,馬主氏名,生産牧場名,馬体重,馬体重増減,全成績,ダート左成績,ダート右成績,当競馬場成績,うち当距離成績,最高タイム,最高タイム良馬場,着順,タイム,着差,上がり3F,人気
盛岡,20260825,2,2,黒,2,ストレート,牝,6,栗毛,20200407,フリオーソ,ポンデュガール,フォーティナイナー,高松亮,岩手,54,2-2-0-9,千博次,岩手,谷謙介,門別敏朗,,,6-6-4-75,3-2-2-19,3-4-2-56,3-2-2-19,2-1-2-6,1:27.1,良1:27.1,,,,,1
盛岡,20260825,2,3,赤,3,ノースハマナス,牝,6,鹿毛,20200418,ベストウォーリア,ウィステリアカフナ,スペシャルウィーク,高橋悠,岩手,54,0-0-0-1,三野通,岩手,爲永良弘,村上欽哉,,,4-2-3-46,3-0-0-18,1-2-3-28,1-0-0-12,0-0-0-4,1:28.3,良1:28.3,,,,,1
盛岡,20260825,2,4,青,4,トレベルフィーユ,牝,4,青鹿毛,20220426,トーセンラー,トレラピッド,"Anabaa Blue",山本紀,岩手,54,2-0-2-5,高橋純,岩手,山口謙太郎,社台ファーム,,,3-0-3-29,3-0-1-11,0-0-2-15,3-0-1-11,0-0-0-3,1:27.7,良1:27.7,,,,,1
盛岡,20260825,2,5,黄,5,オメガジャスミン,牝,5,栗毛,20210508,マツリダゴッホ,チアフルドーラ,"Jump Start",塚本涼,岩手,54,4-3-1-13,酒井仁,岩手,前田敏文,岡田スタツド,,,4-5-2-24,2-2-1-15,2-3-1-7,2-1-1-8,0-1-0-4,1:28.2,良1:28.2,,,,,1
盛岡,20260825,2,6,緑,6,ブラックトルネード,牡,4,青鹿毛,20220412,フォーウィールドライブ,シャンパンサーベル,キンシャサノキセキ,阿部英,岩手,56,1-0-0-0,工藤裕,岩手,田頭勇貴,有限会社大作ステーブ,,,2-0-0-14,2-0-0-5,0-0-0-8,1-0-0-0,0-0-0-0,,,,,,,1
盛岡,20260825,2,7,橙,7,レイホープ,牡,4,黒鹿毛,20220127,トゥザグローリー,レッドピアノ,オレハマッテルゼ,佐々志,岩手,56,0-0-0-2,佐藤祐,岩手,北原大史,木村牧場,,,3-0-0-24,0-0-0-2,3-0-0-17,0-0-0-2,0-0-0-0,,,,,出走取消,,
盛岡,20260825,2,7,橙,8,ナムラゴロフキン,牡,9,鹿毛,20170520,ゴールドヘイロー,ナムララピス,キングヘイロー,坂井瑛,岩手,☆55,1-0-0-8,新田守,岩手,高橋千恵子,王蔵牧場,,,10-6-7-71,2-0-0-15,8-6-7-55,1-0-0-6,1-0-0-5,1:26.9,良1:26.9,,,,,1
盛岡,20260825,2,8,桃,9,カレンザブーケ,牝,5,栗毛,20210518,カレンブラックヒル,ドリームノート,ディープスカイ,関本玲,岩手,◇52,2-1-1-17,新田守,岩手,谷謙介,飯島功典,,,4-5-6-46,2-2-3-29,2-3-3-17,1-2-3-16,0-0-1-8,1:27.3,良1:27.3,,,,,1
盛岡,20260825,2,8,桃,10,キタノクーヴェル,牡,6,黒鹿毛,20200416,トーセンラー,アンナトルテ,エンパイアメーカー,岩本怜,岩手,56,0-2-1-7,陶文峰,岩手,北所拓也,富菜牧場,,,1-11-9-38,1-6-5-24,0-5-4-13,0-4-1-14,0-2-1-10,1:26.6,良1:27.5,,,,,1
盛岡,20260825,3,1,白,1,ドルチアーリア,牝,5,栗毛,20210504,マインドユアビスケッツ,メジャーマジック,ダイワメジャー,山本政,岩手,54,0-0-0-0,三野通,岩手,山根義信,社台ファーム,,,2-2-3-28,1-2-3-16,1-0-0-11,1-0-2-0,0-0-1-0,1:28.9,良1:28.9,,,,,1
盛岡,20260825,3,2,黒,2,ターントゥベスト,牝,6,鹿毛,20200212,ミッキーロケット,ターントゥタイド,ブラックタイド,村上忍,岩手,54,4-5-1-23,村上実,岩手,西村隆平,三輪牧場,,,6-5-2-37,5-2-2-11,1-2-0-26,5-2-2-11,3-1-2-5,1:27.4,良1:28.0,,,,,1
盛岡,20260825,3,3,赤,3,カラフルフレスコ,牝,7,芦毛,20190510,クリエイター2,ユアカラー,"Jade Robbery",大坪慎,岩手,54,1-0-0-0,三野通,岩手,（株）アプエンテ,スイートフアーム,,,6-5-4-44,5-4-3-19,1-1-1-25,1-3-2-6,1-3-1-3,1:26.8,良1:27.0,,,,,1
盛岡,20260825,3,4,青,4,バスターショット,セン,5,栗毛,20210317,ダノンシャーク,ガーデンショット,アサクサデンエン,山本紀,岩手,56,0-0-1-0,高橋純,岩手,古川忠一,マルシチ牧場,,,4-5-6-32,0-1-1-16,4-4-5-14,0-1-1-4,0-1-1-3,1:27.6,良1:27.6,,,,,1
盛岡,20260825,3,5,黄,5,アリダンジェロ,牝,6,鹿毛,20200429,ジャスタウェイ,ウイングドウィール,シンボリクリスエス,菅原辰,岩手,54,2-0-0-0,瀬戸幸,岩手,岡田拓也,社台ファーム,,,3-4-1-29,3-3-1-13,0-0-0-10,2-0-0-0,1-0-0-0,1:28.8,良1:28.8,,,,,1
盛岡,20260825,3,6,緑,6,ヴェニーレ,牡,8,鹿毛,20180427,メイショウボーラー,ハナウタ,ドリームスプレッド,関本玲,岩手,◇54,0-1-1-16,関本浩,岩手,小橋亮太,厚賀古川牧場,,,11-7-9-44,7-6-8-23,4-1-1-21,3-2-1-7,1-2-1-4,1:26.8,良1:27.3,,,,,1
盛岡,20260825,3,7,橙,7,ベアビリーブ,牝,7,青毛,20190226,キタサンブラック,ロイヤルマリー,Monsun,佐々志,岩手,54,0-0-1-4,瀬戸幸,岩手,後藤順男,（有）社台コーポレー,,,5-10-11-64,4-9-6-25,1-1-5-28,2-8-3-16,1-3-3-12,1:25.3,良1:26.6,,,,,1
盛岡,20260825,3,7,橙,8,ブルーシャトー,牡,6,青鹿毛,20200501,トゥザワールド,フロールシータ,エアジハード,齋藤友,岩手,★52,0-0-0-0,小林義,岩手,小橋亮太,門別敏朗,,,3-7-9-53,2-2-4-18,1-5-5-33,1-1-3-8,1-1-3-7,1:27.0,良1:27.0,,,,,1
盛岡,20260825,3,8,桃,9,ワナカ,牝,4,黒鹿毛,20220416,モーニン,セレスティーヌ,ハーツクライ,高橋悠,岩手,54,1-0-0-0,木村暁,岩手,ジェイアイ（株）,松田牧場,,,3-3-1-14,3-3-1-12,0-0-0-1,3-1-0-0,1-0-0-0,1:26.7,,,,,,1
盛岡,20260825,3,8,桃,10,ラグドール,牡,7,鹿毛,20190526,ミッキーアイル,ラガマフィン,ゼンノロブロイ,塚本涼,岩手,56,0-0-0-0,新田守,岩手,牧野聖子,びらとり牧場,,,8-15-14-51,1-2-2-8,7-13-12-42,0-1-1-3,0-1-1-3,1:26.3,良1:26.3,,,,,1
盛岡,20260825,4,1,白,1,ナズドゥラヴィ,牝,3,鹿毛,20230529,ジャスタウェイ,ゴールデンメロディ,ディープブリランテ,高橋悠,岩手,54,1-1-0-0,伊藤忍,岩手,土井久美子,錦岡牧場,,,1-2-0-2,1-2-0-0,0-0-0-1,1-2-0-0,0-1-0-0,1:26.2,良1:26.2,,,,,1
盛岡,20260825,4,2,黒,2,ボビネット,牝,3,芦毛,20230310,イスラボニータ,オーガンディー,フレンチデピュティ,塚本涼,岩手,54,0-3-0-0,菅原右,岩手,栗坂崇,岡田スタツド,,,0-3-4-5,0-3-2-0,0-0-2-5,0-3-2-0,0-3-0-0,1:26.0,良1:26.5,,,,,1
盛岡,20260825,4,3,赤,3,ケイジ,牡,3,鹿毛,20230423,マジェスティックウォリアー,オトメチャン,ヴァーミリアン,村上忍,岩手,56,1-1-0-2,村上実,岩手,島田久,沖田忠幸,,,1-2-0-6,0-1-0-3,1-1-0-3,0-1-0-2,0-1-0-2,1:26.2,良1:27.7,,,,,1
盛岡,20260825,4,4,青,4,タイセイパフューム,牝,3,鹿毛,20230302,マインドユアビスケッツ,エヌワイパフューム,ジャスタウェイ,高松亮,岩手,54,1-1-2-1,佐藤雅,岩手,田中成奉,（有）社台コーポレー,,,1-1-3-7,1-0-2-2,0-1-1-4,1-0-2-2,1-0-1-1,1:25.7,良1:28.1,,,,,1
盛岡,20260825,4,5,黄,5,シャンペトルブーケ,牝,3,鹿毛,20230312,サトノダイヤモンド,エクストラペトル,キングカメハメハ,山本政,岩手,54,0-0-0-0,伊藤忍,岩手,福田達也,富田牧場,,,1-0-1-5,1-0-0-1,0-0-0-0,1-0-0-1,1-0-0-1,1:27.2,良1:27.2,,,,,1
盛岡,20260825,4,6,緑,6,シスターブラック,牝,3,鹿毛,20230219,キタサンブラック,リュヌルージュ,モンテロッソ,齋藤友,岩手,★50,0-0-0-3,工藤裕,岩手,畠山浩司,グランド牧場,,,0-2-1-14,0-1-0-6,0-1-1-6,0-1-0-5,0-1-0-5,1:26.8,良1:28.4,,,,,1
盛岡,20260825,4,7,橙,7,クリエ,牡,3,鹿毛,20230317,エポカドーロ,フィオレンツァ,グラスワンダー,阿部英,岩手,56,0-0-0-3,三野通,岩手,金野喜見男,門別尚省,,,1-0-0-16,0-0-0-9,1-0-0-7,0-0-0-9,0-0-0-8,1:28.5,良1:29.0,,,,,1
盛岡,20260825,4,7,橙,8,ピッタンヌンムル,牝,3,鹿毛,20230318,ダノンバラード,プラッキーエリーナ,マヤノトップガン,山本紀,岩手,54,0-1-3-3,佐藤敏,岩手,篠塚和郎,中脇一幸,,,0-3-4-6,0-2-1-3,0-1-3-0,0-2-1-3,0-1-1-3,1:27.7,良1:28.0,,,,,1
盛岡,20260825,4,8,桃,9,ボグラーモデル,牡,3,鹿毛,20230507,ベンバトル,クリスティロマンス,シンボリクリスエス,岩本怜,岩手,56,0-0-1-1,畠山信,岩手,谷謙介,ビッグレッドファーム,,,1-2-1-11,0-1-0-6,1-1-1-2,0-1-0-5,0-1-0-5,1:28.1,良1:28.7,,,,,1
盛岡,20260825,4,8,桃,10,ノーブルガイザー,牡,3,鹿毛,20230309,ミッキーアイル,トスアップ,ジャスタウェイ,山本聡,岩手,56,1-1-2-2,菅原勲,岩手,玉田博志,高村牧場,,,1-1-2-4,0-0-2-2,1-1-0-2,0-0-2-2,0-0-2-1,1:27.3,良1:27.3,,,,,1
盛岡,20260825,5,1,白,1,アイビーキラリ,牝,3,栗毛,20230411,タワーオブロンドン,セブンシースケイプ,ワールドエース,鈴木祐,岩手,54,0-3-1-1,櫻田康,岩手,石坂茂ラボ（株）,上村勇人,,,1-4-1-5,1-3-0-1,0-1-1-3,1-3-0-1,0-3-0-1,1:27.3,良1:27.3,,,,,1
盛岡,20260825,5,2,黒,2,シーキングザバース,牝,3,鹿毛,20230322,ビッグアーサー,シーキングオアシス,"Seeking the Gold",菅原辰,岩手,54,0-0-0-0,小林義,岩手,山下勇,ストームファームコー,,,0-1-0-15,0-0-0-2,0-1-0-10,0-0-0-1,0-0-0-1,1:30.6,良1:30.6,,,,,1
盛岡,20260825,5,3,赤,3,ラヴレインブーケ,牝,3,栗毛,20230518,ワールドエース,ブーケパルフェ,アフリート,大坪慎,岩手,54,0-1-0-6,佐藤敏,岩手,白井慎一,静内酒井牧場,,,1-1-1-18,0-0-1-10,1-1-0-7,0-0-1-10,0-0-0-7,1:28.5,良1:28.5,,,,,1
盛岡,20260825,5,4,青,4,ウチュウノハナ,牝,3,鹿毛,20230513,ベストウォーリア,アタックガール,パイロ,南郷家,岩手,54,1-1-0-5,櫻田樹,岩手,長塩豊,門別牧場,,,2-1-0-8,1-1-0-5,1-0-0-3,1-1-0-3,1-1-0-3,1:27.0,良1:27.0,,,,,1
盛岡,20260825,5,5,黄,5,シュガーストーン,牡,3,栗毛,20230326,アニマルキングダム,サセッティ,Selkirk,山本聡,岩手,56,0-0-0-0,小林俊,岩手,大久保俊,今井秀樹,,,1-3-0-5,0-2-0-3,1-1-0-2,0-2-0-3,0-1-0-2,1:26.7,良1:29.6,,,,,1
盛岡,20260825,5,6,緑,6,キングスペード,牡,3,鹿毛,20230410,クリソベリル,ルーレットクイーン,ドリームジャーニー,高松亮,岩手,56,2-0-0-0,佐藤雅,岩手,山下勇,桑田牧場,,,2-0-0-6,2-0-0-1,0-0-0-5,2-0-0-0,1-0-0-0,1:26.2,,,,,,1
盛岡,20260825,5,7,橙,7,エイシンシームレス,牝,3,黒鹿毛,20230313,サトノアレス,エーシンマダムジー,"Giant's Causeway",関本玲,岩手,◇52,0-0-0-2,吉田司,岩手,岩渕瑞生,木田牧場,,,0-0-4-20,0-0-1-4,0-0-3-16,0-0-1-4,0-0-1-4,1:29.2,良1:29.2,,,,,1
盛岡,20260825,5,7,橙,8,クラージュクリール,セン,3,青鹿毛,20230413,アメリカンペイトリオット,リスキーディール,ネオユニヴァース,阿部英,岩手,56,0-1-1-9,工藤裕,岩手,鈴木正浩,市川牧場,,,0-3-1-17,0-1-1-10,0-2-0-7,0-1-1-10,0-1-1-9,1:27.3,良1:27.3,,,,,1
盛岡,20260825,5,8,桃,9,ポルテボヌール,牝,3,栗毛,20230209,マテラスカイ,ドラゴンハピネス,ディープインパクト,佐々志,岩手,54,1-0-0-9,佐藤祐,岩手,Ｉレーシング（株）,下河辺牧場,,,1-1-1-18,0-0-0-5,1-1-1-13,0-0-0-5,0-0-0-5,1:28.5,良1:29.2,,,,,1
盛岡,20260825,5,8,桃,10,マムティタイム,牝,3,鹿毛,20230429,ナムラタイタン,マムティ,デュランダル,高橋悠,岩手,54,0-0-0-1,高橋純,岩手,谷謙介,野坂牧場,,,1-0-1-13,1-0-0-7,0-0-1-6,1-0-0-7,1-0-0-6,1:27.5,良1:27.5,,,,,1
盛岡,20260825,6,1,白,1,シンシア,牝,3,鹿毛,20230404,クリソベリル,ダンスウィズミー,ディープインパクト,山本政,岩手,54,0-0-0-0,畠山信,岩手,吉田勝利,三嶋牧場,,,1-2-3-10,0-0-1-5,1-2-2-5,0-0-1-3,0-0-1-3,1:25.7,良1:27.3,,,,,1
盛岡,20260825,6,2,黒,2,イネスティマブル,牝,3,青毛,20230312,シャンハイボビー,ファルトレク,ノヴェリスト,阿部英,岩手,54,0-0-1-6,及川良,岩手,欠畑圭一,タニグチ牧場,,,1-1-2-15,1-0-1-9,0-1-1-6,0-0-1-4,0-0-1-4,1:26.4,良1:27.2,,,,,1
盛岡,20260825,6,3,赤,3,キララアリエス,牝,3,黒鹿毛,20230321,サンダースノー,ニシノキララコ,アドマイヤムーン,佐々志,岩手,54,1-2-0-3,伊藤忍,岩手,小嶋浩之,前田ファーム,,,1-2-1-11,1-1-0-8,0-1-1-3,1-1-0-8,1-1-0-7,1:27.6,良1:28.3,,,,,1
盛岡,20260825,6,4,青,4,ヤマチョウミニヨン,牝,3,黒鹿毛,20230305,ゴールドドリーム,ミセスユウコチャン,ロジユニヴァース,岩本怜,岩手,54,0-0-0-7,三野通,岩手,長谷川彰,シンユウフアーム,,,0-3-1-18,0-2-0-7,0-1-1-11,0-2-0-7,0-2-0-7,1:26.1,良1:27.8,,,,,1
盛岡,20260825,6,5,黄,5,リュウノソウル,牡,3,栗毛,20230217,カリフォルニアクローム,オースミアース,ハービンジャー,塚本涼,岩手,56,0-1-2-9,酒井仁,岩手,蓑島竜一,広富牧場,,,1-1-4-15,0-0-1-5,1-1-3-10,0-0-1-5,0-0-1-5,1:26.0,良1:27.6,,,,,1
盛岡,20260825,6,6,緑,6,コンバットキャモ,牝,3,鹿毛,20230410,アルアイン,オルニス,マンハッタンカフェ,高橋悠,岩手,54,0-0-0-0,三野通,岩手,山根義信,石田英機,,,1-0-5-3,1-0-2-1,0-0-3-2,1-0-2-1,1-0-2-1,1:25.8,良1:27.5,,,,,1
盛岡,20260825,6,7,橙,7,チェンドル,牝,3,黒鹿毛,20230212,アルアイン,ルタンブル,エイシンフラッシュ,山本紀,岩手,54,1-0-0-6,板垣吉,岩手,杉浦和也,大北牧場,,,1-0-2-14,1-0-0-3,0-0-1-4,1-0-0-3,1-0-0-3,1:25.8,良1:27.4,,,,,1
盛岡,20260825,6,7,橙,8,バオシェテンシ,牝,3,鹿毛,20230501,サンダースノー,ベルフロレゾン,クロフネ,村上忍,岩手,54,3-0-0-0,千葉幸,岩手,楊明翰,レジェンドファーム,,,3-0-0-8,3-0-0-0,0-0-0-5,3-0-0-0,2-0-0-0,1:27.8,良1:29.0,,,,,1
盛岡,20260825,6,8,桃,9,リトゥリア,牝,3,黒鹿毛,20230503,ミスターメロディ,ボルティモア,ステイゴールド,山本聡,岩手,54,1-1-0-1,菅原勲,岩手,高橋一己,岩見牧場,,,1-2-1-7,1-1-0-2,0-0-0-2,1-1-0-1,1-1-0-1,1:26.5,良1:27.8,,,,,1
盛岡,20260825,6,8,桃,10,トキノシャトー,牝,3,黒鹿毛,20230404,タイセイレジェンド,レッドオランジュ,ステイゴールド,高松亮,岩手,54,2-0-0-3,佐藤雅,岩手,相馬哲夫,城地牧場,,,2-1-0-9,2-0-0-1,0-1-0-8,2-0-0-1,1-0-0-1,1:25.7,,,,,,1
盛岡,20260825,7,1,白,1,マナラニアケア,牡,2,黒鹿毛,20240415,リオンリオン,マナバレンシア,トゥザワールド,高松亮,岩手,55,0-0-0-0,佐藤雅,岩手,（同）ＭＩＲＡＩ,秋場牧場,,,0-0-0-5,0-0-0-0,0-0-0-5,0-0-0-0,0-0-0-0,,,,,,,1
盛岡,20260825,7,2,黒,2,カシュタン,牡,2,栗毛,20240329,エーシンシャラク,エーシンブルバード,オレハマッテルゼ,山本紀,岩手,55,0-0-0-2,板垣吉,岩手,シグラップ・マネジメント（株）,吉永ファーム,,,0-0-0-3,0-0-0-2,0-0-0-1,0-0-0-2,0-0-0-2,1:17.4,良1:17.7,,,,,1
盛岡,20260825,7,3,赤,3,デイジーサンデー,牝,2,鹿毛,20240222,ステルヴィオ,ナムラジュエル,マーベラスサンデー,山本聡,岩手,54,0-0-0-0,小林俊,岩手,ホンベホールディングス（株）,野坂牧場,,,0-0-0-5,0-0-0-1,0-0-0-4,0-0-0-1,0-0-0-1,1:16.6,良1:16.6,,,,,1
盛岡,20260825,7,4,青,4,トモノミラグレ,牡,2,鹿毛,20240501,ステルヴィオ,ミラグレ,ステイゴールド,岩本怜,岩手,55,0-0-0-0,三野通,岩手,望月朋子,門別牧場,,,0-0-1-3,0-0-1-2,0-0-0-1,0-0-1-2,0-0-1-2,1:15.9,良1:19.2,,,,,1
盛岡,20260825,7,5,黄,5,ワールドルミエール,牝,2,鹿毛,20240305,ワールドプレミア,ダイヤモンドベガ,ハードスパン,鈴木祐,岩手,54,0-0-0-0,飯田弘,岩手,村上幹夫,ワールドファーム,,,0-0-0-4,0-0-0-2,0-0-0-0,0-0-0-2,0-0-0-2,1:17.0,良1:17.0,,,,,1
盛岡,20260825,7,6,緑,6,ハッピーアフリート,牝,2,鹿毛,20240404,ハッピースプリント,ワンドロップ,サウスヴィグラス,佐々志,岩手,54,0-0-0-0,三野通,岩手,前田敏文,様似共栄牧場,,,0-0-0-4,0-0-0-0,0-0-0-4,0-0-0-0,0-0-0-0,,,,,,,1
盛岡,20260825,7,7,橙,7,カンパネルラ,牡,2,鹿毛,20240322,シュヴァルグラン,カオレレ,プリサイスエンド,小林凌,岩手,55,0-0-0-1,飯田弘,岩手,大谷昌裕,高橋啓,,,0-0-0-2,0-0-0-1,0-0-0-0,0-0-0-1,0-0-0-0,,,,,,,1
盛岡,20260825,7,7,橙,8,テンシノウィンク,牝,2,鹿毛,20240327,ジャスタウェイ,ジョイフルラブ,メイショウサムソン,山本政,岩手,54,0-0-0-0,西野直,岩手,堀口晴男,日西牧場,,,0-0-0-1,0-0-0-1,0-0-0-0,0-0-0-1,0-0-0-0,,,,,,,1
盛岡,20260825,7,8,桃,9,プロパティクシオン,牡,2,黒鹿毛,20240226,イスラボニータ,ヴィンチェーレ,フェノーメノ,大坪慎,岩手,55,0-0-0-1,橘友和,岩手,眞保榮健太,桑田牧場,,,0-0-0-3,0-0-0-1,0-0-0-2,0-0-0-1,0-0-0-1,1:16.8,良1:16.8,,,,,1
盛岡,20260825,7,8,桃,10,アルミノダンク,牝,2,青鹿毛,20240322,ベストウォーリア,マルティプライ,"Fusaichi Pegasus",菅原辰,岩手,54,0-0-0-1,瀬戸幸,岩手,（株）安達牧場,村上諒真,,,0-0-0-3,0-0-0-2,0-0-0-0,0-0-0-2,0-0-0-2,1:17.6,良1:19.0,,,,,1
盛岡,20260825,8,1,白,1,キラット,牝,6,栗毛,20200327,リアルインパクト,トワインブルーム,トワイニング,村上忍,岩手,54,0-1-1-0,村上実,岩手,大原知宏,有限会社大原ファーム,,,2-6-7-11,2-5-6-10,0-1-1-1,0-0-0-0,0-0-0-0,,,,,,,1
盛岡,20260825,8,2,黒,2,オロスコピオ,牝,4,黒鹿毛,20220420,トーセンラー,ダイワエトワール,エンパイアメーカー,菅原辰,岩手,54,1-0-1-6,瀬戸幸,岩手,橋本浩,社台ファーム,,,2-1-1-18,0-1-0-6,1-0-1-5,0-1-0-6,0-0-0-4,1:25.0,良1:26.4,,,,,1
盛岡,20260825,8,3,赤,3,グラフィアスレディ,牝,7,鹿毛,20190510,ミッキーアイル,ヴィルフランシュ,ハーツクライ,鈴木祐,岩手,54,1-0-0-8,千葉幸,岩手,新井原博,川上牧場,,,9-10-10-55,3-6-3-26,6-4-6-26,3-6-3-26,1-1-0-9,1:25.2,良1:25.2,,,,,1
盛岡,20260825,8,4,青,4,フタイテンホイール,牝,4,鹿毛,20220407,モンテロッソ,フェリスホイール,ダンスインザダーク,齋藤友,岩手,★50,1-1-2-6,齋藤雄,岩手,岡崎淳,大北牧場,,,2-2-4-34,2-1-4-9,0-1-0-15,2-1-4-9,2-0-4-2,1:26.4,良1:26.4,,,,,1
盛岡,20260825,8,5,黄,5,ゴージャスレディ,牝,4,鹿毛,20220309,パイロ,プロディジャス,ハーツクライ,南郷家,岩手,54,0-1-0-0,櫻田樹,岩手,大黒富美子,高松牧場,,,3-4-4-9,0-1-0-0,3-3-4-9,0-1-0-0,0-0-0-0,,,,,,,1
盛岡,20260825,8,5,黄,6,レーザースペックル,牡,4,栗毛,20220402,パイロ,バンダ,キングヘイロー,塚本涼,岩手,56,2-0-0-0,木村暁,岩手,会田裕一,上水牧場,,,4-0-6-14,3-0-4-13,1-0-2-1,2-0-0-0,1-0-0-0,1:26.4,良1:26.4,,,,,1
盛岡,20260825,8,6,緑,7,フークタオユエン,セン,4,鹿毛,20220310,トランセンド,アガペー,シンボリクリスエス,関本玲,岩手,◇54,0-0-0-0,関本浩,岩手,福岡隆史,オーシャンズランチ,,,3-3-4-25,0-0-0-0,3-3-4-25,0-0-0-0,0-0-0-0,,,,,,,1
盛岡,20260825,8,6,緑,8,フェズカズマ,牡,7,栗毛,20190115,ドレフォン,シナジーウィスパー,ネオユニヴァース,山本聡,岩手,56,0-0-0-1,佐藤雅,岩手,福盛訓之,ノーザンファーム,,,5-5-1-43,1-2-0-8,4-3-1-32,1-2-0-5,0-1-0-4,1:24.5,良1:28.1,,,,,1
盛岡,20260825,8,7,橙,9,ヒロシゲウェーブ,セン,10,栗毛,20160318,ダイワメジャー,サトノアスカ,"Giant's Causeway",小林凌,岩手,56,0-0-0-0,酒井仁,岩手,鈴木道隆,高橋義浩,,,18-14-18-49,1-0-2-9,17-14-16-37,1-0-2-8,0-0-2-8,1:25.9,良1:26.9,,,,,1
盛岡,20260825,8,7,橙,10,プリンスメーカー,牡,6,鹿毛,20200507,リアルインパクト,プリンセスメーカー,エンパイアメーカー,高松亮,岩手,56,0-0-0-0,板垣吉,岩手,小原準一郎,坂本智広,,,3-2-5-26,3-2-5-25,0-0-0-0,0-0-0-0,0-0-0-0,,,,,,,1
盛岡,20260825,8,8,桃,11,エルモドーロ,牡,8,栗毛,20180302,オルフェーヴル,ホワイトヴェール,クロフネ,佐々志,岩手,56,0-0-0-0,小林俊,岩手,小橋亮太,下河辺牧場,,,3-13-10-46,0-6-4-7,3-7-5-35,0-2-2-5,0-2-2-5,1:25.5,良1:26.4,,,,,1
