ym,split,rows,columns,bytes,sha256,file
202210,train,14070,81,596930,a39870e67cf5b4e1493f92a1689b1408b0748e837d86fa5f00639e863f908b19,monthly/2022/202210_model.csv.gz
202211,train,13101,81,561915,e5c493019f40c6655a0418ba20e6c309e31d37ee74e14a24a6f679fb5f050678,monthly/2022/202211_model.csv.gz
202212,train,12820,81,549004,80acc27eaf0f23097e1c33ad275282f6797c581f734799cd0c5538c718632b6e,monthly/2022/202212_model.csv.gz
202301,train,11114,81,469869,e559b4dec0ecfe3b2b84ca6e2e75c53b887f0d08a5b3fb94f96c16b5df3e5811,monthly/2023/202301_model.csv.gz
202302,train,9875,81,421872,37ad4546786437457ef71bbf124df4c2a409ca8aa1b0463c222d8b3b8d77bb1f,monthly/2023/202302_model.csv.gz
202303,train,12571,81,547914,08200e6248a0947c5962e0454d56814bcdd6214094cf3cf29a245c16ae20c747,monthly/2023/202303_model.csv.gz
202304,train,11765,81,519648,33179ee444fdd9c91cc75154c137adf787c832d1a7ace0d274314d8c64be99b7,monthly/2023/202304_model.csv.gz
202305,train,14100,81,610466,1b6692ce9f8aa90969f9633cd6e259630cf5997b32c5961d6853c125e82a100f,monthly/2023/202305_model.csv.gz
202306,train,13474,81,576529,ef8db8c2180562b42a2fcce7f7378c25b57b59e45131c924ef0250503e96ce90,monthly/2023/202306_model.csv.gz
202307,train,13854,81,585762,d5d390c18bf8a4030be3558bd1a814a34ae127280c5b00578676f5aab50f3ebf,monthly/2023/202307_model.csv.gz
202308,train,13573,81,574305,cdc60ad7b18c14389f8609efadada7b89336c9eb9ec74db7a920d542922966d0,monthly/2023/202308_model.csv.gz
202309,train,12929,81,546237,42a5eae9d710338f0fa97384de3652f1a58f82a362add95d4ae251543edffc64,monthly/2023/202309_model.csv.gz
202310,train,14654,81,614568,8f911ef3a902a43251869b712aa49ee5f2780befd8545abda08d657f537a9077,monthly/2023/202310_model.csv.gz
202311,train,13439,81,573142,03537e2183f32dd12db3d127c40ef685bc83848d912cdf0d2724f5f475d82b97,monthly/2023/202311_model.csv.gz
202312,train,13532,81,575651,4e8164f57826fc83aa8d5f2574396d50137ca0a93d81eb02a39b6880c6a57cb0,monthly/2023/202312_model.csv.gz
202401,validation,11344,81,479954,081479bf7ff8a49ffc30c0fb3ee9acbe89171ec3a916ed46f7d993496b5697cc,monthly/2024/202401_model.csv.gz
202402,validation,10456,81,446646,6ed3c3e093a395038b48c5eac7117b77ed6248935c067260f02cdcad0a7e94bf,monthly/2024/202402_model.csv.gz
202403,validation,11725,81,511348,4451e832c81fa232deda14cd81f6ac993efeff51c07a7e43c8b32ec8c13118f6,monthly/2024/202403_model.csv.gz
202404,validation,12868,81,563939,e387269e67ab6736ed47367d55005914efbf0a3d3128a9f9920bf42b3540a3f9,monthly/2024/202404_model.csv.gz
202405,validation,13953,81,603887,a257991aad7cb4681693e8cc66500ca49ce430b63ddaea6c7b8934b0c7b44087,monthly/2024/202405_model.csv.gz
202406,validation,13945,81,594961,cc45869e690910d38fb370bfe383dd44866582e4b5ff5a7f668764b0747f333d,monthly/2024/202406_model.csv.gz
202407,validation,14525,81,616458,0e7ac75c3871d6a6ca7065de238603e2a7c2ed39651859c9f68523b6d295533b,monthly/2024/202407_model.csv.gz
202408,validation,12334,81,521185,00c650432d218b887fabcf06ee712dad040ec78f6c37b8d42e3b729ec40bab62,monthly/2024/202408_model.csv.gz
202409,validation,13688,81,577335,35d058f75daaaf96a6d1a7a5a5a458f2173c12a2082c62c94065af898419ccc8,monthly/2024/202409_model.csv.gz
202410,validation,14709,81,620010,1a332ee02c451729eb290f191f4ad6358f7e076869d233d7f0369dfc24508497,monthly/2024/202410_model.csv.gz
202411,validation,13363,81,570690,493e6483209084d4f35975d13ccb13bd289bcd634bbbaaffb0de52864d21d396,monthly/2024/202411_model.csv.gz
202412,validation,14210,81,607677,d5de9d3697b54ab4f5cd08b82ad5a959f312ec6b63d214e8ef89e3f532c98216,monthly/2024/202412_model.csv.gz
202501,test,11974,81,505076,6ccb17c04cde9cb0afb6ab1c5492e4e7c40b7dd47b7ce5ebcfaec57d3a6aacc1,monthly/2025/202501_model.csv.gz
202502,test,10067,81,427726,71d759dfe0e150188a689083bcb5ea83ad84f030368bfd560cb4687243bed615,monthly/2025/202502_model.csv.gz
202503,test,12162,81,526033,80a890d357b2bdf2834e11c600bb5baa3d4c7573139b650bc9622421b14f4c6f,monthly/2025/202503_model.csv.gz
202504,test,12066,81,526826,99202291139473532855a5ffa883154155b30711701fb797c61fe93c58efe34f,monthly/2025/202504_model.csv.gz
202505,test,13382,81,580355,d182c607cd695eb1695db4cba2e3b50ef30d77746566ba0f0d6552f146473104,monthly/2025/202505_model.csv.gz
202506,test,14122,81,598933,d73c4f6a042354f6ae05e86cd6c2140f161fb8d147108b8db4f2fb88507281ce,monthly/2025/202506_model.csv.gz
202507,test,13372,81,560385,af50446f716034efe1cf9712b01093ea860582c5c56aefd28029b06a4650f08c,monthly/2025/202507_model.csv.gz
202508,test,11737,81,486878,95a917320d36808b14e625659f2dd1bea9efb14592ae77ed85bf268c74ad0036,monthly/2025/202508_model.csv.gz
202509,test,14017,81,585706,07d17b61984b96b6b072e8fcd5d993fb68e056211e2c0971b372eb5e14944b64,monthly/2025/202509_model.csv.gz
202510,test,15051,81,628018,e8bd75240620d0d024f2f58cac19c60974ab12cde99b67ca222df3a9144712a5,monthly/2025/202510_model.csv.gz
202511,test,13595,81,573655,74f430b2be4a120104b682ecb6ff370f622a1d89588a577905eebc2ece4e2693,monthly/2025/202511_model.csv.gz
202512,test,13592,81,575144,c8c765df199e789a68e6bdc60483c221f64bb9c4ebdf0e1b40ac7a665487a5b9,monthly/2025/202512_model.csv.gz
